서비스아이디,서비스명,서비스URL,서비스요약,사이트,대표문의,소관부처명,소관조직명,기준년도,최종수정일
10,(북한이탈주민) 탈북청소년 교육지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=10,탈북청소년의 학교생활 적응 지원을 통해 대한민국의 건강한 구성원으로 자립할 수 있도록 지원합니다.,북한이탈주민지원재단 교육지원부 www.koreahana.or.kr 통일부 정착지원과 www.unikorea.go.kr,남북하나재단 콜센터 1577-6635,통일부,정착지원과,2021,2021-04-27
18,(특수교육대상자) 치료지원서비스,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=18,특수교육대상자의 효과적인 교육을 위해 다양한 서비스를 제공합니다.,교육부 http://www.moe.go.kr,교육부 민원콜센터 02-6222-6060,교육부,특수교육정책과,2021,2021-06-11
266,6.25자녀수당,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=266,6.25 전쟁 중 전사하거나 순직한 전몰군경 혹은 순직군경 자녀의 생활안정과 복지향상을 위하여 수당을 지원합니다.,국가보훈처 http://www.mpva.go.kr/,보훈상담센터 1577-0606,국가보훈처,보상정책과,2021,2021-05-25
19,WEE 클래스 상담지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=19,"초중고 학교부적응 학생 및 위기학생, 일반학생에 대한 학교생활 적응 조력 및 치유를 목적으로 합니다.",학생안전통합시스템 www.wee.go.kr,"학교안전통합시스템 043)5309-182, 184",교육부,학교생활문화과,2021,2021-05-11
357,가사·간병 방문 지원사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=357,일상생활이 어려운 저소득층 가정에 간병·가사 서비스를 지원하여 취약계층의 생활 안정 도모 및 사회적 일자리를 창출합니다.,사회서비스바우처 http://www.socialservice.or.kr 보건복지부 콜센터 http://www.129.go.kr,보건복지콜센터 129,보건복지부,사회서비스사업과,2021,2021-05-27
295,가정양육수당 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=295,"가정에서 아이를 돌보는 가정 양육 시, 부모의 자녀 양육에 대한 부담을 경감하고 보육 서비스 선택권을 보장합니다.",보건복지부 http://www.mohw.go.kr 복지로 http://www.bokjiro.go.kr 보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,보육사업기획과,2021,2021-06-09
25,가정위탁아동 상해보험료 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=25,"가정위탁보호아동의 예상치 못한 질병과 안전사고에 대비해, 상해보험 가입 시 상해보험료를 지원함으로써 위탁가정의 심리적, 경제적 부담을 완화하고 가정위탁사업의 활성화를 도모합니다.",가정위탁지원센터 http://www.fostercare.or.kr/,가정위탁지원센터 1577-1406,보건복지부,아동권리과,2020,2020-03-17
168,가정폭력·성폭력 피해자 무료법률지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=168,가정폭력과 성폭력 등으로 고통 받는 분들의 법률적 문제를 돕습니다.,대한법률구조공단 http://www.klac.or.kr/ 한국가정법률상담소 http://www.lawhome.or.kr/law1/index.asp 대한변협법률구조재단 http://www.legalaid.or.kr/index2.php (사)한국성폭력위기센터  www.rape119.or.kr,대한법률구조공단 콜센터 132,여성가족부,권익보호과,2021,2021-04-27
148,가정폭력상담소 운영지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=148,"가정폭력·스토킹·데이트폭력의 피해자를 상담하고 임시보호하며, 의료기관, 법률기관, 피해자 보호시설로 인도합니다.",,1366센터 1366,여성가족부,권익보호과,2021,2021-04-23
149,가정폭력피해자 치료회복 프로그램 및 의료비지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=149,가정폭력으로 상처받은 몸과 마음을 치료하고 회복하기 위한 프로그램과 의료비를 지원합니다.,여성긴급전화 www.women1366.kr,여성긴급전화 1366,여성가족부,권익보호과,2021,2021-04-27
61,가족역량강화지원 사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=61,"취약·긴급위기 가족이 가족 기능을 회복하고 정서적, 경제적 자립을 할 수 있도록 돕기 위한 서비스를 제공합니다.",지방건강가정지원센터 http://www.familynet.or.kr,건강가정지원센터 1577-9337,여성가족부,가족지원과,2021,2021-05-13
222,개발제한구역 거주민 생활비용보조사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=222,개발제한구역 지정으로 생활의 불편을 겪는 구역 내 저소득 주민에게 보전부담금을 재원으로 생활비용을 보조합니다.,국토교통부 http://www.molit.go.kr/happyhouse,국토교통부 1599-0001,국토교통부,녹색도시과,2021,2021-04-02
63,건강가정지원센터운영,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=63,지역주민의 특성을 고려한 맞춤형 가족지원서비스를 제공하여 가족의 안정성 강화 및 가족관계 증진을 돕습니다.,지방건강가정지원센터 http://www.familynet.or.kr,지방건강가정지원센터 1577-9337,여성가족부,가족정책과,2021,2021-06-10
124,결혼이민자 통번역 서비스,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=124,입국초기의 결혼이민자와 다문화가족이 생활 속에서 의사소통에 불편함이 없도록 통역과 번역 서비스를 지원하며 통·번역 인력채용 등으로 자립을 돕습니다.,다누리콜센터 http://www.liveinkorea.kr/,다누리 콜센터 1577-1366,여성가족부,다문화가족과,2021,2021-05-31
16491,경계선지능아동 자립지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=16491,"경계선지능아동에 특화된 자립지원서비스를 제공하여 자립능력을 향상하고,전문인력 양성을 통해 경계선지능아동에게 양질의 맞춤형 서비스 제공합니다.",보건복지부 콜센터 http://www.129.go.kr 아동권리보장원 자립지원부(경계선지능아동 자립지원 담당) www.ncrc.or.kr,보건복지부 콜센터 129,보건복지부,아동권리과,2020,2020-03-25
195,고교학비 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=195,형편이 어려운 저소득층 가정의 자녀에게 교육의 기회를 보장하기 위해서 학비를 지원합니다.,교육비 원클릭 신청 시스템 상담센터 https://oneclick.moe.go.kr,교육비 원클릭신청시스템 상담센터 1544-9654,교육부,교육복지정책과,2021,2021-06-11
17164,고등학교 무상교육,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=17164,초·중·고 교육의 공공성 강화를 위해 학생·학부모의 교육비 부담을 덜어드립니다.,교육부 http://www.moe.go.kr 교육부 교육복지정책과 http://www.moe.go.kr,교육부 민원콜센터 02-6222-6060,교육부,교육복지정책과,2021,2021-06-11
114,고령층 정보화교육,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=114,정보 취약계층인 고령층의 IT 활용능력 향상을 통해 세대 간 정보격차 해소 및 사회경제적으로 자생력과 경쟁력을 갖출 수 있도록 정보화 교육을 지원합니다.,한국정보화진흥원 www.itstudy.or.kr,한국지능정보사회진흥원 053-230-1114,과학기술정보통신부,디지털포용정책팀,2021,2021-05-18
2,고엽제특별지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=2,생계가 곤란한 고엽제 후유증 환자 중 장애인 자녀가 있는 가정에특별지원을 하여 재활의욕을 고취하고 격려합니다.,보훈상담센터 www.mpva.go.kr,보훈상담센터 1577-0606,국가보훈처,보훈의료과,2021,2021-05-24
269,고엽제환자2세수당,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=269,고엽제후유증환자의 자녀가 안정된 생활을 할 수 있도록 장애 정도에 따른 수당을 지원합니다.,국가보훈처 http://www.mpva.go.kr/,보훈상담센터 1577-0606,국가보훈처,보상정책과,2021,2021-05-26
268,고엽제후유의증수당,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=268,고엽제로 인한 후유증으로 질병 또는 장애가 있는 경우 후유의증 수당을 지원합니다.,국가보훈처 http://www.mpva.go.kr/,보훈상담센터 1577-0606,국가보훈처,보상정책과,2021,2021-05-25
